provincia,nombre_depto,ee_comun,cantidad_bp
Santa Cruz,MAGALLANES,8,0
Chubut,PASO DE INDIOS,7,0
La Pampa,CHICAL CO,7,0
San Juan,ULLUM,6,1
San Juan,ZONDA,6,1
La Pampa,CURACO,6,0
La Rioja,GENERAL LAMADRID,6,0
La Pampa,CHALILEO,5,0
La Pampa,CALEU CALEU,4,1
Chubut,FLORENTINO AMEGHINO,4,0
La Pampa,LIMAY MAHUIDA,4,0
La Pampa,LIHUEL CALEL,3,1
La Rioja,SANAGASTA,3,1
Chubut,MARTIRES,3,0
Tierra del Fuego,ANTARTIDA ARGENTINA,1,0
